Classification Id,Currency ISO Code,Default,Default Quantity,Max Quantity,Min Quantity,Modifiable,Sequence,Apttus_Config2__ClassificationId__r.Name,Apttus_Config2__ProductId__r.Product Name
"CP-0000017270","CHF","false","1.0","1.0","0.0","true","","London Accommodation","Urbanest St Pancras Single"
"CP-0000017271","CHF","false","1.0","1.0","0.0","true","","London Accommodation","Urbanest St Pancras Single Extra Night"
"CP-0000017272","CHF","false","1.0","1.0","0.0","true","","Chicago Other","US F1 Student Visa"
"CP-0000017273","CHF","false","1.0","1.0","0.0","true","","Honolulu Other","US F1 Student Visa"
"CP-0000017274","CHF","false","1.0","1.0","0.0","true","","Miami Other","US F1 Student Visa"
"CP-0000017275","CHF","false","1.0","1.0","0.0","true","","San Diego Point Loma Other","US F1 Student Visa"
"CP-0000017276","CHF","false","1.0","1.0","0.0","true","","San Francisco Down Town Other","US F1 Student Visa"
"CP-0000017277","CHF","false","1.0","1.0","0.0","true","","Santa Barbara Other","US F1 Student Visa"
"CP-0000017278","CHF","false","1.0","1.0","0.0","true","","Paris Other","Versailles and Disneyland Paris"
"CP-0000017279","CHF","false","1.0","1.0","0.0","true","","Bournemouth Other","Visa"
"CP-0000017280","CHF","false","1.0","1.0","0.0","true","","Brisbane Other","Visa"
"CP-0000017281","CHF","false","1.0","1.0","0.0","true","","Bournemouth Other","Visa Handling Fee"
"CP-0000017282","CHF","false","1.0","1.0","0.0","true","","Brisbane Other","Visa Handling Fee"
"CP-0000017283","CHF","false","1.0","1.0","0.0","true","","Bristol Other","Visa Handling Fee"
"CP-0000017284","CHF","false","1.0","1.0","0.0","true","","Chicago Other","Visa Handling Fee"
"CP-0000017285","CHF","false","1.0","1.0","0.0","true","","Costa Rica Other","Visa Handling Fee"
"CP-0000017286","CHF","false","1.0","1.0","0.0","true","","Dublin Other","Visa Handling Fee"
"CP-0000017287","CHF","false","1.0","1.0","0.0","true","","Honolulu Other","Visa Handling Fee"
"CP-0000017288","CHF","false","1.0","1.0","0.0","true","","London Other","Visa Handling Fee"
"CP-0000017289","CHF","false","1.0","1.0","0.0","true","","Malta St. Julian's Other","Visa Handling Fee"
"CP-0000017290","CHF","false","1.0","1.0","0.0","true","","Miami Other","Visa Handling Fee"
"CP-0000017291","CHF","false","1.0","1.0","0.0","true","","Oxford Other","Visa Handling Fee"
"CP-0000017292","CHF","false","1.0","1.0","0.0","true","","Paris Other","Visa Handling Fee"
"CP-0000017293","CHF","false","1.0","1.0","0.0","true","","Saint Raphaël Other","Visa Handling Fee"
"CP-0000017294","CHF","false","1.0","1.0","0.0","true","","San Diego Point Loma Other","Visa Handling Fee"
