APTS Ext ID,Currency ISO Code,Description,Dimension 1 Value Type,Dimension 2 Value Type,Dimension 3 Value Type,Dimension 4 Value Type,Dimension 5 Value Type,Dimension 6 Value Type,Enable Date Range,Enable Usage Indexing,Export Price List Item Name,Export Price List Name,Initial Rows,Is Cumulative Range (Deprecated),Matrix Id,Matrix Type,Number Of Entries,Sequence,Stop Processing More Matrices,Apttus_Config2__PriceListItemId__r.APTS Migration Ext ID,Apttus_Config2__PriceListItemId__r.Item Id,Apttus_Config2__Dimension1Id__r.Dimension Name,Apttus_Config2__Dimension2Id__r.Dimension Name,Apttus_Config2__Dimension3Id__r.Dimension Name,Apttus_Config2__Dimension4Id__r.Dimension Name,Apttus_Config2__Dimension5Id__r.Dimension Name,Apttus_Config2__Dimension6Id__r.Dimension Name
481,CHF,,Discrete,,,,,,FALSE,FALSE,Year - AD Hotel & Tourism - January,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000307,Dimension,3,1,FALSE,4158,PI-0000006216,Destination Code,,,,,
482,CHF,,Discrete,,,,,,FALSE,FALSE,Year - Pre Master – January,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000308,Dimension,8,1,FALSE,4159,PI-0000006217,Destination Code,,,,,
483,CHF,,Discrete,,,,,,FALSE,FALSE,Year - Pre PHD - January,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000309,Dimension,2,1,FALSE,4160,PI-0000006219,Destination Code,,,,,
484,CHF,,Discrete,,,,,,FALSE,FALSE,Year - University Transition Program - January,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000310,Dimension,1,1,FALSE,4161,PI-0000006220,Destination Code,,,,,
485,CHF,,Discrete,,,,,,FALSE,FALSE,Year - ACDP - April,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000311,Dimension,3,1,FALSE,4162,PI-0000006221,Destination Code,,,,,
486,CHF,,Discrete,,,,,,FALSE,FALSE,Oneway Return Transfer - School to LAX Airport,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000693,Dimension,3,1,FALSE,4353,PI-0000006597,Destination Code,,,,,
487,CHF,,Discrete,,,,,,FALSE,FALSE,Oneway Return Transfer - School to LCY Airport,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000694,Dimension,7,1,FALSE,4355,PI-0000006602,Destination Code,,,,,
488,CHF,,Discrete,,,,,,FALSE,FALSE,Oneway Return Transfer - School to LGW Airport,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000695,Dimension,7,1,FALSE,4356,PI-0000006603,Destination Code,,,,,
489,CHF,,Discrete,,,,,,FALSE,FALSE,Oneway Return Transfer - School to LHR Airport,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000696,Dimension,7,1,FALSE,4357,PI-0000006604,Destination Code,,,,,
490,CHF,,Discrete,,,,,,FALSE,FALSE,Oneway Return Transfer - School to LTN Airport,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000697,Dimension,7,1,FALSE,4360,PI-0000006623,Destination Code,,,,,
491,CHF,,Discrete,,,,,,FALSE,FALSE,Oneway Return Transfer - School to St Pancras,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000698,Dimension,7,1,FALSE,4361,PI-0000006629,Destination Code,,,,,
492,CHF,,Discrete,,,,,,FALSE,FALSE,Oneway Return Transfer - School to SNA Airport,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000699,Dimension,2,1,FALSE,4362,PI-0000006635,Destination Code,,,,,
493,CHF,,Discrete,,,,,,FALSE,FALSE,Oneway Return Transfer - School to STN Airport,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000700,Dimension,7,1,FALSE,4363,PI-0000006637,Destination Code,,,,,
494,CHF,,Discrete,,,,,,FALSE,FALSE,Oneway Single Transfer - Airport to School,MLY NOO 2018 V1 NOK,5,FALSE,PM-0000000701,Dimension,26,1,FALSE,4364,PI-0000006638,Destination Code,,,,,
495,CHF,,Discrete,,,,,,FALSE,FALSE,Year - Exam - April,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000312,Dimension,42,1,FALSE,4163,PI-0000006222,Destination Code,,,,,
496,CHF,,Discrete,,,,,,FALSE,FALSE,Academic Year - Intensive - April,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000313,Dimension,42,1,FALSE,4165,PI-0000006224,Destination Code,,,,,
497,CHF,,Discrete,,,,,,FALSE,FALSE,Academic Year - General - April,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000314,Dimension,39,1,FALSE,4164,PI-0000006223,Destination Code,,,,,
498,CHF,,Discrete,,,,,,FALSE,FALSE,Year - AD Media & Art - April,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000315,Dimension,4,1,FALSE,4166,PI-0000006225,Destination Code,,,,,
499,CHF,,Discrete,,,,,,FALSE,FALSE,Year - AD Business English - April,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000316,Dimension,8,1,FALSE,4167,PI-0000006226,Destination Code,,,,,
500,CHF,,Discrete,,,,,,FALSE,FALSE,Year - AD Fashion & Design - April,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000317,Dimension,3,1,FALSE,4168,PI-0000006227,Destination Code,,,,,
501,CHF,,Discrete,,,,,,FALSE,FALSE,Business Language Course,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000318,Dimension,0,1,FALSE,4190,PI-0000007707,Destination Code,,,,,
502,CHF,,Discrete,,,,,,FALSE,FALSE,Diploma in Business and Management - August,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000319,Dimension,0,1,FALSE,4171,PI-0000006254,Destination Code,,,,,
