"ID","OWNERID","ISDELETED","NAME","CURRENCYISOCODE","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","LASTVIEWEDDATE","LASTREFERENCEDDATE","APTSEXTID__C","COUNTRY__C","DESTINATIONCODE__C","ENDDATEOFFSET__C","LANGUAGE__C","STARTDATEOFFSET__C","ISLT__C","GROUPEDLTDESTINATIONNAME__C"
"a5m7E000000CfXHQA0","0057E000004AesfQAC","false","Anvers","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","2018-02-14T06:37:52.000Z","2018-02-14T06:37:52.000Z","","BE","BE-BFL","1.0","Dutch","-1.0","false",""
"a5m7E000000CfXIQA0","0057E000004AesfQAC","false","Toronto","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","CA","CA-TOO","1.0","English","-1.0","false",""
"a5m7E000000CfXJQA0","0057E000004AesfQAC","false","Vancouver","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","CA","CA-VAN","1.0","English","-1.0","false",""
"a5m7E000000CfXKQA0","0057E000004AesfQAC","false","Vancouver Island","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","CA","CA-VIC","1.0","English","-1.0","false",""
"a5m7E000000CfXLQA0","0057E000004AesfQAC","false","Washington D.C.","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","US","US-WAS","1.0","English","-1.0","false",""
"a5m7E000000CfXMQA0","0057E000004AesfQAC","false","Vught","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","NL","NL-VUG","1.0","Dutch","-1.0","false",""
"a5m7E000000CfXNQA0","0057E000004AesfQAC","false","Berlin","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","DE","DE-BER","1.0","German","-1.0","false",""
"a5m7E000000CfXOQA0","0057E000004AesfQAC","false","Auckland","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","NZ","NZ-AUC","1.0","English","-1.0","false",""
"a5m7E000000CfXPQA0","0057E000004AesfQAC","false","Tokyo","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","JP","JP-TYO","1.0","Japanese","-1.0","false",""
"a5m7E000000CfXQQA0","0057E000004AesfQAC","false","Barcelona","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","ES","ES-BAR","1.0","Spanish","-1.0","false",""
"a5m7E000000CfXRQA0","0057E000004AesfQAC","false","Boston","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","US","US-BOI","1.0","English","-1.0","false",""
"a5m7E000000CfXSQA0","0057E000004AesfQAC","false","Bournemouth","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","GB","GB-BOU","1.0","English","-1.0","false",""
"a5m7E000000CfXTQA0","0057E000004AesfQAC","false","Brisbane","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","AU","AU-BRS","1.0","English","-1.0","false",""
"a5m7E000000CfXUQA0","0057E000004AesfQAC","false","Chicago","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","US","US-CHI","1.0","English","-1.0","false",""
"a5m7E000000CfXVQA0","0057E000004AesfQAC","false","Costa Rica","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","CR","CR-COS","1.0","Spanish","-1.0","false",""
"a5m7E000000CfXWQA0","0057E000004AesfQAC","false","London","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","GB","GB-LON","1.0","English","-1.0","false",""
"a5m7E000000CfXXQA0","0057E000004AesfQAC","false","Miami","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","US","US-MIA","1.0","English","-1.0","false",""
"a5m7E000000CfXYQA0","0057E000004AesfQAC","false","Oxford","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","GB","GB-OXF","1.0","English","-1.0","false",""
"a5m7E000000CfXZQA0","0057E000004AesfQAC","false","Paris","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","FR","FR-PAR","1.0","French","-1.0","false",""
"a5m7E000000CfXaQAK","0057E000004AesfQAC","false","Saint Rapha?l","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","FR","FR-STR","1.0","French","-1.0","false",""
"a5m7E000000CfXbQAK","0057E000004AesfQAC","false","Brighton","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","GB","GB-BRI","1.0","English","-1.0","false",""
