Currency ISO Code,Ratio,Sequence,Apttus_Config2__ProductGroupId__r.Group Name,Apttus_Config2__ProductId__r.Product Name
"CHF","","173.0","AY Courses","Semester - AD Hotel & Tourism - June"
"CHF","","174.0","AY Courses","Semester - Pre MBA - June"
"CHF","","175.0","AY Courses","Academic Year - Intensive - January"
"CHF","","176.0","AY Courses","Year - AD Fashion & Design - January"
"CHF","","2.0","Northern Hemisphere","Berlin"
"CHF","","8.0","Northern Hemisphere","Chicago"
"CHF","","9.0","Northern Hemisphere","Clare College"
"CHF","","16.0","Northern Hemisphere","Malaga"
"CHF","","18.0","Northern Hemisphere","Manchester"
"CHF","","75.0","AY Courses","Semester - AD Fashion & Design - September"
"CHF","","76.0","AY Courses","Semester - AD International Affairs - September"
"CHF","","77.0","AY Courses","Semester - AD Hotel & Tourism - September"
"CHF","","78.0","AY Courses","University Foundation Year Extended April"
"CHF","","79.0","AY Courses","University Foundation Year Extended June"
"CHF","","80.0","AY Courses","University Foundation Year Extended"
"CHF","","81.0","AY Courses","University Foundation Year Extra Extended - Jan"
"CHF","","82.0","AY Courses","Semester - Pre Master – September"
"CHF","","83.0","AY Courses","Semester-Pre PHD-September"
"CHF","","84.0","AY Courses","Semester - Exam - November"
"CHF","","85.0","AY Courses","Semester - General - November"
"CHF","","86.0","AY Courses","Semester - Intensive - November"
"CHF","","87.0","AY Courses","Semester - AD Business English - November"
"CHF","","88.0","AY Courses","Term-University Transition Programme-Jan"
"CHF","","89.0","AY Courses","Term-University Transition Programme-May"
"CHF","","90.0","AY Courses","Term-University Transfer Program-August"
"CHF","","91.0","AY Courses","University Foundation Year Extra Extended - April"
"CHF","","92.0","AY Courses","University Foundation Year Extra Extended - June"
"CHF","","93.0","AY Courses","University Foundation Year Extra Extended"
"CHF","","94.0","AY Courses","University Foundation Year - January"
"CHF","","95.0","AY Courses","University Foundation Year - June"
"CHF","","96.0","AY Courses","Semester-Pre PHD-September"
"CHF","","97.0","AY Courses","Semester - AD Business English - November"
"CHF","","98.0","AY Courses","Semester - ACDP - September"
"CHF","","99.0","AY Courses","Semester - AD Fashion & Design - September"
"CHF","","100.0","AY Courses","Semester - AD International Affairs - September"
"CHF","","101.0","AY Courses","Semester - AD Hotel & Tourism - September"
"CHF","","102.0","AY Courses","University Foundation Year - June"
"CHF","","103.0","AY Courses","University Foundation Year Extended April"
"CHF","","104.0","AY Courses","University Foundation Year Extra Extended - Jan"
"CHF","","105.0","AY Courses","Semester - AD Media & Art - April"
"CHF","","106.0","AY Courses","Semester - AD Fashion & Design - April"
"CHF","","107.0","AY Courses","Semester - AD International Affairs - April"
"CHF","","108.0","AY Courses","Semester - Pre Master - April"
"CHF","","109.0","AY Courses","Semester - Pre PHD - April"
"CHF","","110.0","AY Courses","Semester - University Transition Programme - May"
"CHF","","111.0","AY Courses","University Foundation Year - Medicine - September"
"CHF","","112.0","AY Courses","University Foundation Semester - January"
"CHF","","113.0","AY Courses","University Foundation Semester - April"
"CHF","","114.0","AY Courses","University Foundation Semester - June"
"CHF","","115.0","AY Courses","University Foundation Semester - September"
"CHF","","177.0","AY Courses","Year - AD International Affairs - January"
"CHF","","178.0","AY Courses","Year - Pre Master Business Administration - January"
"CHF","","179.0","AY Courses","Year - Pre PHD - April"
"CHF","","180.0","AY Courses","Year - University Transition Program - May"
"CHF","","181.0","AY Courses","Year - ACDP - June"
"CHF","","182.0","AY Courses","Year - Exam - June"
"CHF","","183.0","AY Courses","Academic Year - General - June"
"CHF","","184.0","AY Courses","Year - AD Media & Art - June"
"CHF","","185.0","AY Courses","Year - Pre Master – April"
"CHF","","186.0","AY Courses","Year - AD Hotel & Tourism - September"
"CHF","","187.0","AY Courses","Year - Pre Master Business Administration - September"
"CHF","","188.0","AY Courses","Year - AD Fashion & Design & Exam - September"
"CHF","","189.0","AY Courses","Year - Pre PHD-September"
"CHF","","190.0","AY Courses","Year - Exam - November"
"CHF","","191.0","AY Courses","Year - General - November"
"CHF","","192.0","AY Courses","Academic Year - Intensive - November"
"CHF","","193.0","AY Courses","Year - AD Business English - November"
"CHF","","194.0","AY Courses","Year Extended - ACDP - January"
"CHF","","195.0","AY Courses","Year Extended - Exam - January"
"CHF","","196.0","AY Courses","Year Extended - General - January"
"CHF","","197.0","AY Courses","Year Extended - Intensive - January"
"CHF","","198.0","AY Courses","Year Extended - General - September"
"CHF","","199.0","AY Courses","Year Extended - Intensive - September"
"CHF","","200.0","AY Courses","Year Extended - Exam - November"
"CHF","","201.0","AY Courses","Year Extended - General - November"
"CHF","","202.0","AY Courses","Year Extended - Intensive - November"
"CHF","","203.0","AY Courses","Extra Extended Year - ACDP - January"
"CHF","","204.0","AY Courses","Extra Extended Year - ACDP - April"
"CHF","","205.0","AY Courses","Extra Extended Year - ACDP - June"
"CHF","","206.0","AY Courses","Extra Extended Year - ACDP - September"
"CHF","","207.0","AY Courses","Semester - AD Business English - September"
"CHF","","208.0","AY Courses","Semester - Pre Master Business Administration - September"
"CHF","","209.0","AY Courses","University Foundation Year - April"
"CHF","","210.0","AY Courses","Year - AD International Affairs - September"
"CHF","","14.0","Non AY Courses","Junior Course"
"CHF","","2.0","Non AY Courses","French Prepa"
"CHF","","5.0","Non AY Courses","Teacher Training Course (TESOL)"
"CHF","","13.0","Non AY Courses","Basic Course"
"CHF","","11.0","Non AY Courses","Career Builder Marketing & Business"
"CHF","","10.0","Non AY Courses","Mini Group Conversation Course"
"CHF","","12.0","Non AY Courses","Career Builder Legal English"
"CHF","","29.0","Northern Hemisphere","San Francisco Down Town"
"CHF","","32.0","Northern Hemisphere","Seoul"
"CHF","","33.0","Northern Hemisphere","Shanghai"
"CHF","","6.0","Northern Hemisphere","Bristol"
"CHF","","26.0","Northern Hemisphere","Rome"
"CHF","","31.0","Northern Hemisphere","Seattle"
"CHF","","11.0","Products with Subtype Hotel and Hotel Extra Night","Accommodation provided by AirBnB starting from"
"CHF","","12.0","Products with Subtype Hotel and Hotel Extra Night","Citadines Aparthotel Double Extra Night"
