Currency ISO Code,Default Search Category,Description,Expanded By Default,Guide Page,Hide All Search Filters,Is Hidden,Is Leaf,Is Picklist,Label,Large Image Size,Left,Level,Long Description,Max Options,Min Options,Modifiable,Name,Product Count,Right,Search Filter Fields,Apttus_Config2__HierarchyId__r.Category Name,Apttus_Config2__AncestorId__r.Name,Apttus_Config2__PrimordialId__r.Name,Apttus_Config2__ProductAttributeGroupId__r.Group Name
"CHF","false","","false","","false","false","Yes","false","Clare College Courses","","1.0","0.0","","1.0","1.0","true","Clare College Courses","8.0","2.0","","Clare College Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Clare College Accommodation","","1.0","0.0","","1.0","1.0","true","Clare College Accommodation","25.0","2.0","","Clare College Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Clare College Insurance","","1.0","0.0","","1.0","1.0","true","Clare College Insurance","10.0","2.0","","Clare College Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Clare College Travel","","1.0","0.0","","1.0","1.0","true","Clare College Travel","33.0","2.0","","Clare College Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Clare College Other","","1.0","0.0","","1.0","1.0","true","Clare College Other","42.0","2.0","","Clare College Other","","",""
"CHF","false","","false","","false","false","Yes","false","Eastbourne Courses","","1.0","0.0","","1.0","1.0","true","Eastbourne Courses","50.0","2.0","","Eastbourne Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Barcelona Insurance","","1.0","0.0","","1.0","1.0","true","Barcelona Insurance","11.0","2.0","","Barcelona Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Auckland Other","","1.0","0.0","","1.0","1.0","true","Auckland Other","22.0","2.0","","Auckland Other","","",""
"CHF","false","","false","","false","false","Yes","false","Auckland Insurance","","1.0","0.0","","1.0","1.0","true","Auckland Insurance","11.0","2.0","","Auckland Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Barcelona Courses","","1.0","0.0","","1.0","1.0","true","Barcelona Courses","42.0","2.0","","Barcelona Courses","","",""
"CHF","false","","true","","false","false","Yes","false","ILS/APP Destinations","","1.0","0.0","","1.0","1.0","true","ILS/APP Destinations","45.0","2.0","","ILS/APP Destinations","","",""
"CHF","false","","false","","false","false","Yes","false","Auckland Travel","","1.0","0.0","","1.0","1.0","true","Auckland Travel","10.0","2.0","","Auckland Travel","","",""
"CHF","false","","false","","false","false","Yes","false","General Fees","","1.0","0.0","","99.0","1.0","true","General Fees","11.0","2.0","","General Fees","","",""
"CHF","false","","false","","false","false","Yes","false","Berlin Courses","","1.0","0.0","","1.0","1.0","true","Berlin Courses","58.0","2.0","","Berlin Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Berlin Accommodation","","1.0","0.0","","1.0","1.0","true","Berlin Accommodation","31.0","2.0","","Berlin Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Berlin Insurance","","1.0","0.0","","1.0","1.0","true","Berlin Insurance","10.0","2.0","","Berlin Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Berlin Travel","","1.0","0.0","","1.0","1.0","true","Berlin Travel","16.0","2.0","","Berlin Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Berlin Other","","1.0","0.0","","1.0","1.0","true","Berlin Other","44.0","2.0","","Berlin Other","","",""
"CHF","false","","false","","false","false","Yes","false","Malaga Insurance","","1.0","0.0","","1.0","1.0","true","Malaga Insurance","10.0","2.0","","Malaga Insurance","","",""
"CHF","false","","false","","false","false","Yes","false","Malaga Travel","","1.0","0.0","","1.0","1.0","true","Malaga Travel","12.0","2.0","","Malaga Travel","","",""
"CHF","false","","false","","false","false","Yes","false","Malaga Other","","1.0","0.0","","1.0","1.0","true","Malaga Other","44.0","2.0","","Malaga Other","","",""
"CHF","false","","false","","false","false","Yes","false","Manchester Courses","","1.0","0.0","","1.0","1.0","true","Manchester Courses","59.0","2.0","","Manchester Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Manchester Accommodation","","1.0","0.0","","1.0","1.0","true","Manchester Accommodation","19.0","2.0","","Manchester Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Cambridge Courses","","1.0","0.0","","1.0","1.0","true","Cambridge Courses","59.0","2.0","","Cambridge Courses","","",""
"CHF","false","","false","","false","false","Yes","false","Cambridge Accommodation","","1.0","0.0","","1.0","1.0","true","Cambridge Accommodation","23.0","2.0","","Cambridge Accommodation","","",""
"CHF","false","","false","","false","false","Yes","false","Manchester Other","","1.0","0.0","","1.0","1.0","true","Manchester Other","44.0","2.0","","Manchester Other","","",""
"CHF","false","","false","","false","false","Yes","false","Munich Courses","","1.0","0.0","","1.0","1.0","true","Munich Courses","58.0","2.0","","Munich Courses","","",""
