Adjustment Heading,Articles Heading,Code Heading,Comments Heading,Course Description Heading,Currency ISO Code,Description Translation,Discount Heading,Duration Heading,General heading,GeneralInfo Translation,Grand Total Heading,Incentive,Incentive Heading,Initial Price Heading,Insurance Heading,Language,Lessons Descriptions Translation,Market,No of Weeks Heading,Optional Heading,Price Heading,Product,Product Name Translation,Promotions Heading,Total Heading,Transalation Name,Unique Record Identifier,Valid Until Heading,RecordType.Name,Incentive__r.Incentive Name,Product__r.Product Name
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBGQA2","Oatley Road Twin","","","T-1648","FRP FR REST-OATL","","Product Translation","","Oatley Road Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBHQA2","Ovingdean Twin","","","T-1649","FRP FR REST-OVIN","","Product Translation","","Ovingdean Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTKZQA2","The Pad Woolloongabba Twin","","","T-1650","FRP FR REST-PADW","","Product Translation","","The Pad Woolloongabba Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTLqQAM","Casa Papaya Twin","","","T-1651","FRP FR REST-PAPA","","Product Translation","","Casa Papaya Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBIQA2","Park Lodge Twin","","","T-1652","FRP FR REST-PARK","","Product Translation","","Park Lodge Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBJQA2","Hotel Parsberg Twin","","","T-1653","FRP FR REST-PARS","","Product Translation","","Hotel Parsberg Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTJsQAM","Summer Residence Palatino Twin","","","T-1654","FRP FR REST-PASC","","Product Translation","","Summer Residence Palatino Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTEFQA2","Pelajar House Twin","","","T-1655","FRP FR REST-PELA","","Product Translation","","Pelajar House (International House) Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBKQA2","Parkside Twin","","","T-1656","FRP FR REST-PKSD","","Product Translation","","Parkside Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTMQQA2","EF College Campus Twin","","","T-1657","FRP FR REST-PLIH","","Product Translation","","EF College Campus Twin San Diego Point Loma"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBMQA2","Ramada Torrance Twin","","","T-1658","FRP FR REST-RAMI","","Product Translation","","Ramada Torrance Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTfyQAE","Anna Ravell  chambre double","","","T-1659","FRP FR REST-RAVE","","Product Translation","","Anna Ravell Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTENQA2","Red Monkey Lodge Twin","","","T-1660","FRP FR REST-REDM","","Product Translation","","Red Monkey Lodge Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTEPQA2","Red Monkey Manor Twin Room","","","T-1661","FRP FR REST-REMM","","Product Translation","","Red Monkey Manor Twin Room"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTEWQA2","Rockland Residence Twin","","","T-1662","FRP FR REST-RKLD","","Product Translation","","Rockland Residence Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBNQA2","Sandman Suites Twin Off Peak","","","T-1663","FRP FR REST-SANSO","","Product Translation","","Sandman Suites Twin Off Peak"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBOQA2","Sandman Suites Twin Peak","","","T-1664","FRP FR REST-SANSP","","Product Translation","","Sandman Suites Twin Peak"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBPQA2","Student At Home Twin","","","T-1665","FRP FR REST-SATH","","Product Translation","","Student At Home Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBQQA2","Schoenhouse Apartments Twin","","","T-1666","FRP FR REST-SCHO","","Product Translation","","Schoenhouse Apartments Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBRQA2","Evergreen Twin","","","T-1667","FRP FR REST-SEAC","","Product Translation","","Evergreen Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBSQA2","Seagull Residence Twin","","","T-1668","FRP FR REST-SEAG","","Product Translation","","Seagull Residence Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBTQA2","SF Club Twin","","","T-1669","FRP FR REST-SFCL","","Product Translation","","SF Club Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBUQA2","Mills College Twin","","","T-1670","FRP FR REST-SFMC","","Product Translation","","Mills College Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBWQA2","Sparklens Twin","","","T-1671","FRP FR REST-SPAR","","Product Translation","","Sparklens Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBXQA2","2Stay Twin","","","T-1672","FRP FR REST-STAY","","Product Translation","","2Stay Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBYQA2","Munich EF Studios Twin","","","T-1673","FRP FR REST-STDI","","Product Translation","","Munich EF Studios Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTJoQAM","Student One Twin","","","T-1674","FRP FR REST-STDO","","Product Translation","","Student One Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTJgQAM","Malta St. Georges Beach Off Peak Twin","","","T-1675","FRP FR REST-STGBO","","Product Translation","","St. Georges Beach Twin Off Peak"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTJiQAM","Malta St. Georges Beach Peak Twin","","","T-1676","FRP FR REST-STGBP","","Product Translation","","St. Georges Beach Twin Peak"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBZQA2","St. Jakob Twin","","","T-1677","FRP FR REST-STJA","","Product Translation","","St. Jakob Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBaQAM","St Leonard's Residence Twin","","","T-1678","FRP FR REST-STLE","","Product Translation","","St Leonard's Residence Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTJkQAM","St. Raphael Summer Residence Twin","","","T-1679","FRP FR REST-STRR","","Product Translation","","St. Raphael Summer Residence Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBbQAM","Student Living Twin","","","T-1680","FRP FR REST-STUD","","Product Translation","","Student Living Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBcQAM","Sunway Riverside Residence Twin","","","T-1681","FRP FR REST-SUNW","","Product Translation","","Sunway Riverside Residence Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBdQAM","Swieqi Guest House Twin","","","T-1682","FRP FR REST-SWIQ","","Product Translation","","Swieqi Guest House Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBeQAM","Social Residence Tama Plaza Twin","","","T-1683","FRP FR REST-TAMA","","Product Translation","","Social Residence Tama Plaza Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTKCQA2","The Pad Premium Twin","","","T-1684","FRP FR REST-THEPE","","Product Translation","","The Pad Premium Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBfQAM","Résidence","","","T-1685","FRP FR REST-THUB","","Product Translation","","The Hub Twin San Francisco"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTK6QAM","The Hub Twin Ensuite","","","T-1686","FRP FR REST-THUBE","","Product Translation","","The Hub Twin Ensuite San Francisco"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBgQAM","Togumar Residence Twin","","","T-1687","FRP FR REST-TOGU","","Product Translation","","Togumar Residence Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBiQAM","Town Inn Suites Twin","","","T-1688","FRP FR REST-TOWN","","Product Translation","","Town Inn Suites Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBjQAM","Urbanest Kings Cross LSP Twin","","","T-1689","FRP FR REST-URBKS","","Product Translation","","Urbanest Kings Cross LSP Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBkQAM","Urbanest Residence Twin","","","T-1690","FRP FR REST-URBS","","Product Translation","","Urbanest Residence Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBlQAM","Van Gogh Summer Residence Twin","","","T-1691","FRP FR REST-VANG","","Product Translation","","Van Gogh Summer Residence Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBmQAM","Villa Rosa Twin","","","T-1692","FRP FR REST-VILL","","Product Translation","","Villa Rosa Twin"
