Active,Category Label,Category Name,Currency ISO Code,Guide Page,Type
"true","Shanghai Courses","Shanghai Courses","CHF","","Option Group"
"true","Shanghai Accommodation","Shanghai Accommodation","CHF","","Option Group"
"true","Shanghai Insurance","Shanghai Insurance","CHF","","Option Group"
"true","Shanghai Travel","Shanghai Travel","CHF","","Option Group"
"true","Shanghai Other","Shanghai Other","CHF","","Option Group"
"true","Sydney Courses","Sydney Courses","CHF","","Option Group"
"true","Sydney Accommodation","Sydney Accommodation","CHF","","Option Group"
"true","Sydney Insurance","Sydney Insurance","CHF","","Option Group"
"true","Sydney Travel","Sydney Travel","CHF","","Option Group"
"true","Sydney Other","Sydney Other","CHF","","Option Group"
"true","Anvers Courses","Anvers Courses","CHF","","Option Group"
"true","Perth Courses","Perth Courses","CHF","","Option Group"
"true","Perth Accommodation","Perth Accommodation","CHF","","Option Group"
"true","Perth Insurance","Perth Insurance","CHF","","Option Group"
"true","Perth Travel","Perth Travel","CHF","","Option Group"
"true","Perth Other","Perth Other","CHF","","Option Group"
"true","Rome Courses","Rome Courses","CHF","","Option Group"
"true","Rome Accommodation","Rome Accommodation","CHF","","Option Group"
"true","Rome Insurance","Rome Insurance","CHF","","Option Group"
"true","Rome Travel","Rome Travel","CHF","","Option Group"
"true","Rome Other","Rome Other","CHF","","Option Group"
"true","Seattle Courses","Seattle Courses","CHF","","Option Group"
"true","Seattle Accommodation","Seattle Accommodation","CHF","","Option Group"
"true","Anvers Accommodation","Anvers Accommodation","CHF","","Option Group"
"true","Anvers Insurance","Anvers Insurance","CHF","","Option Group"
"true","Madrid Travel","Madrid Travel","CHF","","Option Group"
"true","Madrid Other","Madrid Other","CHF","","Option Group"
"true","Malaga Courses","Malaga Courses","CHF","","Option Group"
"true","Anvers Travel","Anvers Travel","CHF","","Option Group"
"true","Anvers Other","Anvers Other","CHF","","Option Group"
"true","Toronto Courses","Toronto Courses","CHF","","Option Group"
"true","Toronto Insurance","Toronto Insurance","CHF","","Option Group"
"true","Toronto Travel","Toronto Travel","CHF","","Option Group"
"true","Seattle Accommodation","Seattle Accommodation","CHF","","Option Group"
"true","Toronto Other","Toronto Other","CHF","","Option Group"
"true","Vancouver Island Travel","Vancouver Island Travel","CHF","","Option Group"
"true","Vught Insurance","Vught Insurance","CHF","","Option Group"
"true","Vught Travel","Vught Travel","CHF","","Option Group"
"true","Vught Other","Vught Other","CHF","","Option Group"
"true","Toronto Accommodation","Toronto Accommodation","CHF","","Option Group"
"true","Washington D.C. Courses","Washington D.C. Courses","CHF","","Option Group"
"true","Washington D.C. Accommodation","Washington D.C. Accommodation","CHF","","Option Group"
"true","Washington D.C. Insurance","Washington D.C. Insurance","CHF","","Option Group"
"true","Washington D.C. Travel","Washington D.C. Travel","CHF","","Option Group"
"true","Washington D.C. Other","Washington D.C. Other","CHF","","Option Group"
"true","Tokyo Insurance","Tokyo Insurance","CHF","","Option Group"
"true","Tokyo Courses","Tokyo Course","CHF","","Option Group"
"true","Tokyo Accommodation","Tokyo Accommodation","CHF","","Option Group"
"true","Tokyo Travel","Tokyo Travel","CHF","","Option Group"
"true","Vancouver Courses","Vancouver Courses","CHF","","Option Group"
"true","Vancouver Accommodation","Vancouver Accommodation","CHF","","Option Group"
"true","Vancouver Insurance","Vancouver Insurance","CHF","","Option Group"
"true","Vancouver Travel","Vancouver Travel","CHF","","Option Group"
"true","Vancouver Other","Vancouver Other","CHF","","Option Group"
"true","Vancouver Island Courses","Vancouver Island Courses","CHF","","Option Group"
"true","Vancouver Island Accommodation","Vancouver Island Accommodation","CHF","","Option Group"
"true","Tokyo Other","Tokyo Other","CHF","","Option Group"
"true","Barcelona Travel","Barcelona Travel","CHF","","Option Group"
"true","Washington D.C. UP & Diploma Courses","Washington D.C. UP & Diploma Courses","CHF","","Option Group"
"true","Cambridge UP & Diploma Courses","Cambridge UP & Diploma Courses","CHF","","Option Group"
"true","Vancouver Island Insurance","Vancouver Island Insurance","CHF","","Option Group"
"true","Sydney UP & Diploma Courses","Sydney UP & Diploma Courses","CHF","","Option Group"
"true","Vancouver UP & Diploma Courses","Vancouver UP & Diploma Courses","CHF","","Option Group"
"true","Munich UP & Diploma Courses","Munich UP & Diploma Courses","CHF","","Option Group"
"true","Paris UP & Diploma Courses","Paris UP & Diploma Courses","CHF","","Option Group"
"true","Brighton UP & Diploma Courses","Brighton UP & Diploma Courses","CHF","","Option Group"
"true","Bristol UP & Diploma Courses","Bristol UP & Diploma Courses","CHF","","Option Group"
"true","London UP & Diploma Courses","London UP & Diploma Courses","CHF","","Option Group"
"true","Oxford UP & Diploma Courses","Oxford UP & Diploma Courses","CHF","","Option Group"
"true","Singapore UP & Diploma Courses","Singapore UP & Diploma Courses","CHF","","Option Group"
"true","Boston UP and Diploma Courses","Boston UP and Diploma Courses","CHF","","Option Group"
"true","Vancouver Island Other","Vancouver Island Other","CHF","","Option Group"
"true","Vught Courses","Vught Courses","CHF","","Option Group"
"true","Vught Accommodation","Vught Accommodation","CHF","","Option Group"
"true","Miami UP & Diploma Courses","Miami UP & Diploma Courses","CHF","","Option Group"
"true","New York UP & Diploma Courses","New York UP & Diploma Courses","CHF","","Option Group"
"true","Santa Barbara UP & Diploma Courses","Santa Barbara UP & Diploma Courses","CHF","","Option Group"
"true","San Francisco Down Town UP & Diploma Courses","San Francisco Down Town UP & Diploma Courses","CHF","","Option Group"
"true","Other","LT Other","CHF","","Option Group"
"true","General Fees","LT General Fees","CHF","","Option Group"
"true","Insurance","LT Insurance","CHF","","Option Group"
"true","Course Types","LT Course Types","CHF","","Option Group"
"true","LT Offering","LT Offering","CHF","","Offering"
"true","San Diego Point Loma UP & Diploma Courses","San Diego Point Loma UP & Diploma Courses","CHF","","Option Group"
"true","Seattle UP & Diploma Courses","Seattle UP & Diploma Courses","CHF","","Option Group"
