Active,Actual Icon Size,Available Programs,AY Course Type,Bundle Invoice Level,Configuration Type,Course Pricing,Currency ISO Code,Destination Location,Discontinued Date,Effective Date,Effective Start Date,Enable Start Date & End Date,Exclude From Sitemap,Expiration Date,Has Attributes,Has Defaults,Has Options,Has Search Attributes,Is Optional,Launch Date,Must Configure,Price Override Allowed,Product Code,Product Description,Product Family,Product Name,Product Subtype,Product Type,Qunatity Modifiable,TI Pricing,Uom,Version
"true","","AY;AYP","PPHD","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","SE01PPHD","","Course","Semester-Pre PHD-January","","Course","false","false","Each","1.0"
"true","","AY;AYP","UTP","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","SE01UTP","","Course","Semester - University Transition Programme - January","","Course","false","false","Each","1.0"
"true","","AY;AYP","ACDP","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","SE04ACDP","","Course","Semester ACDP April","","Course","false","false","Each","1.0"
"true","","AY;AYP","E","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","SE04E","","Course","Semester - Exam - April","","Course","false","false","Each","1.0"
"true","","AY;AYP","G","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","SE04G","","Course","Semester - General - April","","Course","false","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","DCP2AUC","","","Rotorua, Taupo, Waitomo Weekend Trip","Explore Pack","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","APMSJ","","","Sailing or Windsurfing Course - Beginner or Advanced","Sports Options","Other","true","false","Each","1.0"
"true","","","","","Bundle","false","CHF","Northern Hemisphere","","","","true","false","","true","false","true","false","false","","true","false","FR-STR","","Destination","Saint Raphaël","","Destination","false","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","DCP2BST","","","Salisbury, Stonehenge, Bath and Cardiff","Explore Pack","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","APBAR","","","Salsa class Barcelona","Sports Options","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","AP2PAR","","","Salsa Dancing Paris","Sports Options","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","APBST","","","Salsa dancing","Sports Options","Other","true","false","Each","1.0"
"true","","","","","Bundle","false","CHF","Northern Hemisphere","","","","true","false","","true","false","true","false","false","","true","false","US-SDC","","Destination","San Diego Point Loma","","Destination","false","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","DCPSDO","","","San Diego Zoo","Explore Pack","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PTQMO","","","Quebéc, Montréal & Ottawa Post-tour","Post Tours","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","PTRVPP","","","Rome, Venice & Paris","Post Tours","Other","true","false","Each","1.0"
